Title,Description,Manual,Price,test_str
LASUNI GOBI,Florets Of Cauliflower Marinated In Lemon And Ginger Juice Finished In A Tangy Tomato And Garlic Sauce,Vegetarian,18,LASUNI GOBI : Florets Of Cauliflower Marinated In Lemon And Ginger Juice Finished In A Tangy Tomato And Garlic Sauce
VEGETABLE SAMOSA,"Crispy Turnovers Stuffed With Seasoned Potatoes, Green Peas",Vegetarian,18,"VEGETABLE SAMOSA : Crispy Turnovers Stuffed With Seasoned Potatoes, Green Peas"
ALOO TIKKIYA,"Grilled Spicy Potato Cakes Topped With Pomegranate, Mint Chutney",Vegetarian,18,"ALOO TIKKIYA : Grilled Spicy Potato Cakes Topped With Pomegranate, Mint Chutney"
AMRITSARI SEEKH,"Marinated Paneer, Grilled Peppers, Tomato Sauce",Vegetarian,22,"AMRITSARI SEEKH : Marinated Paneer, Grilled Peppers, Tomato Sauce"
HARA BHARA KABAB,"Grilled Spinach Patties Stuffed With Paneer, Garam Masala, Red Chili",Vegetarian,18,"HARA BHARA KABAB : Grilled Spinach Patties Stuffed With Paneer, Garam Masala, Red Chili"
PALAK CHAAT,"Mixture Of Crispy Spinach, Seasoned Tomatoes, Red Onions, Sev, Yogurt, Mint & Tamarind Chutney",Vegetarian,16,"PALAK CHAAT : Mixture Of Crispy Spinach, Seasoned Tomatoes, Red Onions, Sev, Yogurt, Mint & Tamarind Chutney"
DAHI ALOO PAPDI,"A Mixture Of Wheat Crisps, Potatoes, Chickpeas, Yogurt, Tamarind Chutney",Vegetarian,14,"DAHI ALOO PAPDI : A Mixture Of Wheat Crisps, Potatoes, Chickpeas, Yogurt, Tamarind Chutney"
BHEL POORI,"Assorted Crisps And Sev, Sweet And Sour Chutneys",Vegetarian,14,"BHEL POORI : Assorted Crisps And Sev, Sweet And Sour Chutneys"
BAGHARE JHINGA,Jumbo Shrimp Pan Seared With Curry Leaves And Mustard Seeds Finished In A Creamy Tomato Sauce,Not Vegetarian,24,BAGHARE JHINGA : Jumbo Shrimp Pan Seared With Curry Leaves And Mustard Seeds Finished In A Creamy Tomato Sauce
TAMARIND SCALLOPS,"Pan-Seared Scallops With Garam Masala, Lemon Juice Topped With Poppyseeds",Not Vegetarian,24,"TAMARIND SCALLOPS : Pan-Seared Scallops With Garam Masala, Lemon Juice Topped With Poppyseeds"
CHILI CRAB,"Mix Of Jumbo Lump Crab Meat, Chili, Garlic",Not Vegetarian,24,"CHILI CRAB : Mix Of Jumbo Lump Crab Meat, Chili, Garlic"
MASALE WALI MACHLI,"Halibut Marinated In Ginger, Garlic, Chili Powder, Carom Seeds, Lemon Juice Finished On Grill",Not Vegetarian,24,"MASALE WALI MACHLI : Halibut Marinated In Ginger, Garlic, Chili Powder, Carom Seeds, Lemon Juice Finished On Grill"
BATAKI KOSHA,"Minced Duck Cooked With Onion, Ginger, Garlic, Garam Masala Hand Rolled In A Rice Crepe",Not Vegetarian,20,"BATAKI KOSHA : Minced Duck Cooked With Onion, Ginger, Garlic, Garam Masala Hand Rolled In A Rice Crepe"
MURGH MALOVA,"Chicken Marinated In Apple Cider Vinegar, Ground Pepper, Curry Leaves Cooked In A Fiery Red Chili Paste",Not Vegetarian,18,"MURGH MALOVA : Chicken Marinated In Apple Cider Vinegar, Ground Pepper, Curry Leaves Cooked In A Fiery Red Chili Paste"
MURGH MALAI KABAB,"Chicken Marinated In Hung Yogurt, Coriander, Cream Cheese, Carom Seeds Finished In Tandoor",Not Vegetarian,18,"MURGH MALAI KABAB : Chicken Marinated In Hung Yogurt, Coriander, Cream Cheese, Carom Seeds Finished In Tandoor"
PATHAR KE KABAB,"Stoned Grilled Pounded Lamb Marinated In Mace, Nutmeg, Papaya, Rose Water",Not Vegetarian,22,"PATHAR KE KABAB : Stoned Grilled Pounded Lamb Marinated In Mace, Nutmeg, Papaya, Rose Water"
NIZAMI KEEMA,"Ground Lamb Cooked Along Cinnamon, Cloves, Nutmeg, Lemon Zest",Not Vegetarian,20,"NIZAMI KEEMA : Ground Lamb Cooked Along Cinnamon, Cloves, Nutmeg, Lemon Zest"
SHE CRAB SOUP,"Thick Soup Of She Crab Meat, Curry Leaves, Root Vegetables, Coconut Rum",Not Vegetarian,17,"SHE CRAB SOUP : Thick Soup Of She Crab Meat, Curry Leaves, Root Vegetables, Coconut Rum"
TOMATO RASAM,"Broth Of Tomato, Garlic, Lemon Juice, Curry Leaves And Mustard Seeds.",Vegetarian,12,"TOMATO RASAM : Broth Of Tomato, Garlic, Lemon Juice, Curry Leaves And Mustard Seeds."
MULLIGATAWNY,"A Spicy Favorite Of Anglo-Indians Made Of Chicken, Red Lentils, Vegetables",Not Vegetarian,14,"MULLIGATAWNY : A Spicy Favorite Of Anglo-Indians Made Of Chicken, Red Lentils, Vegetables"
KOSHIMBIR,"Romaine Lettuce, Grilled Asparagus, Brussels Sprout, Kirby, Cherry Tomato, Fetta Cheese, Lime Vinaigrette",Vegetarian,13,"KOSHIMBIR : Romaine Lettuce, Grilled Asparagus, Brussels Sprout, Kirby, Cherry Tomato, Fetta Cheese, Lime Vinaigrette"
ANUM ZAARA,"Grilled Chicken, Mixed Greens, Pink Grapefruit, Beets, Goat Cheese, Walnuts, Maple And Apple Cider Dressing",Not Vegetarian,15,"ANUM ZAARA : Grilled Chicken, Mixed Greens, Pink Grapefruit, Beets, Goat Cheese, Walnuts, Maple And Apple Cider Dressing"
JALPARI,"Basil Shrimp, Bean And Radish Sprouts, Pea Shoots, Micro Greens, Honey And Ginger Dressing",Not Vegetarian,18,"JALPARI : Basil Shrimp, Bean And Radish Sprouts, Pea Shoots, Micro Greens, Honey And Ginger Dressing"
