Title,Description,Manual,Price,test_str,bart_classification,mDeBERTa_classification,DeBERTa-v3-base-mnli-fever-anli,deberta-v3-base-zeroshot-v1.1-all-33,mDeBERTa-v3-base-mnli-xnli
LASUNI GOBI,Florets Of Cauliflower Marinated In Lemon And Ginger Juice Finished In A Tangy Tomato And Garlic Sauce,Vegetarian,18,LASUNI GOBI : Florets Of Cauliflower Marinated In Lemon And Ginger Juice Finished In A Tangy Tomato And Garlic Sauce,not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
VEGETABLE SAMOSA,"Crispy Turnovers Stuffed With Seasoned Potatoes, Green Peas",Vegetarian,18,"VEGETABLE SAMOSA : Crispy Turnovers Stuffed With Seasoned Potatoes, Green Peas",vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
ALOO TIKKIYA,"Grilled Spicy Potato Cakes Topped With Pomegranate, Mint Chutney",Vegetarian,18,"ALOO TIKKIYA : Grilled Spicy Potato Cakes Topped With Pomegranate, Mint Chutney",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
AMRITSARI SEEKH,"Marinated Paneer, Grilled Peppers, Tomato Sauce",Vegetarian,22,"AMRITSARI SEEKH : Marinated Paneer, Grilled Peppers, Tomato Sauce",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
HARA BHARA KABAB,"Grilled Spinach Patties Stuffed With Paneer, Garam Masala, Red Chili",Vegetarian,18,"HARA BHARA KABAB : Grilled Spinach Patties Stuffed With Paneer, Garam Masala, Red Chili",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
PALAK CHAAT,"Mixture Of Crispy Spinach, Seasoned Tomatoes, Red Onions, Sev, Yogurt, Mint & Tamarind Chutney",Vegetarian,16,"PALAK CHAAT : Mixture Of Crispy Spinach, Seasoned Tomatoes, Red Onions, Sev, Yogurt, Mint & Tamarind Chutney",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
DAHI ALOO PAPDI,"A Mixture Of Wheat Crisps, Potatoes, Chickpeas, Yogurt, Tamarind Chutney",Vegetarian,14,"DAHI ALOO PAPDI : A Mixture Of Wheat Crisps, Potatoes, Chickpeas, Yogurt, Tamarind Chutney",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
BHEL POORI,"Assorted Crisps And Sev, Sweet And Sour Chutneys",Vegetarian,14,"BHEL POORI : Assorted Crisps And Sev, Sweet And Sour Chutneys",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
BAGHARE JHINGA,Jumbo Shrimp Pan Seared With Curry Leaves And Mustard Seeds Finished In A Creamy Tomato Sauce,Not Vegetarian,24,BAGHARE JHINGA : Jumbo Shrimp Pan Seared With Curry Leaves And Mustard Seeds Finished In A Creamy Tomato Sauce,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
TAMARIND SCALLOPS,"Pan-Seared Scallops With Garam Masala, Lemon Juice Topped With Poppyseeds",Not Vegetarian,24,"TAMARIND SCALLOPS : Pan-Seared Scallops With Garam Masala, Lemon Juice Topped With Poppyseeds",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CHILI CRAB,"Mix Of Jumbo Lump Crab Meat, Chili, Garlic",Not Vegetarian,24,"CHILI CRAB : Mix Of Jumbo Lump Crab Meat, Chili, Garlic",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MASALE WALI MACHLI,"Halibut Marinated In Ginger, Garlic, Chili Powder, Carom Seeds, Lemon Juice Finished On Grill",Not Vegetarian,24,"MASALE WALI MACHLI : Halibut Marinated In Ginger, Garlic, Chili Powder, Carom Seeds, Lemon Juice Finished On Grill",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
BATAKI KOSHA,"Minced Duck Cooked With Onion, Ginger, Garlic, Garam Masala Hand Rolled In A Rice Crepe",Not Vegetarian,20,"BATAKI KOSHA : Minced Duck Cooked With Onion, Ginger, Garlic, Garam Masala Hand Rolled In A Rice Crepe",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MURGH MALOVA,"Chicken Marinated In Apple Cider Vinegar, Ground Pepper, Curry Leaves Cooked In A Fiery Red Chili Paste",Not Vegetarian,18,"MURGH MALOVA : Chicken Marinated In Apple Cider Vinegar, Ground Pepper, Curry Leaves Cooked In A Fiery Red Chili Paste",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MURGH MALAI KABAB,"Chicken Marinated In Hung Yogurt, Coriander, Cream Cheese, Carom Seeds Finished In Tandoor",Not Vegetarian,18,"MURGH MALAI KABAB : Chicken Marinated In Hung Yogurt, Coriander, Cream Cheese, Carom Seeds Finished In Tandoor",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
PATHAR KE KABAB,"Stoned Grilled Pounded Lamb Marinated In Mace, Nutmeg, Papaya, Rose Water",Not Vegetarian,22,"PATHAR KE KABAB : Stoned Grilled Pounded Lamb Marinated In Mace, Nutmeg, Papaya, Rose Water",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
NIZAMI KEEMA,"Ground Lamb Cooked Along Cinnamon, Cloves, Nutmeg, Lemon Zest",Not Vegetarian,20,"NIZAMI KEEMA : Ground Lamb Cooked Along Cinnamon, Cloves, Nutmeg, Lemon Zest",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
SHE CRAB SOUP,"Thick Soup Of She Crab Meat, Curry Leaves, Root Vegetables, Coconut Rum",Not Vegetarian,17,"SHE CRAB SOUP : Thick Soup Of She Crab Meat, Curry Leaves, Root Vegetables, Coconut Rum",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
TOMATO RASAM,"Broth Of Tomato, Garlic, Lemon Juice, Curry Leaves And Mustard Seeds.",Vegetarian,12,"TOMATO RASAM : Broth Of Tomato, Garlic, Lemon Juice, Curry Leaves And Mustard Seeds.",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
MULLIGATAWNY,"A Spicy Favorite Of Anglo-Indians Made Of Chicken, Red Lentils, Vegetables",Not Vegetarian,14,"MULLIGATAWNY : A Spicy Favorite Of Anglo-Indians Made Of Chicken, Red Lentils, Vegetables",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
KOSHIMBIR,"Romaine Lettuce, Grilled Asparagus, Brussels Sprout, Kirby, Cherry Tomato, Fetta Cheese, Lime Vinaigrette",Vegetarian,13,"KOSHIMBIR : Romaine Lettuce, Grilled Asparagus, Brussels Sprout, Kirby, Cherry Tomato, Fetta Cheese, Lime Vinaigrette",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
